experiment,threshold,precision,recall,f1,tp,fp,fn,tn
trend_3year_year_standardized,0.18,0.026041666666666668,0.5555555555555556,0.04975124378109453,5,187,4,1756
trend_3year_year_standardized,0.19,0.02617801047120419,0.5555555555555556,0.05,5,186,4,1757
trend_3year_year_standardized,0.2,0.026595744680851064,0.5555555555555556,0.050761421319796954,5,183,4,1760
trend_3year_year_standardized,0.21,0.0273224043715847,0.5555555555555556,0.052083333333333336,5,178,4,1765
trend_3year_year_standardized,0.22,0.027932960893854747,0.5555555555555556,0.05319148936170213,5,174,4,1769
trend_3year_year_standardized,0.23,0.02857142857142857,0.5555555555555556,0.05434782608695652,5,170,4,1773
trend_3year_year_standardized,0.24,0.028735632183908046,0.5555555555555556,0.0546448087431694,5,169,4,1774
trend_3year_year_standardized,0.25,0.028901734104046242,0.5555555555555556,0.054945054945054944,5,168,4,1775
trend_3year_year_standardized,0.26,0.029069767441860465,0.5555555555555556,0.055248618784530384,5,167,4,1776
trend_3year_year_standardized,0.27,0.029940119760479042,0.5555555555555556,0.056818181818181816,5,162,4,1781
trend_3year_year_standardized,0.28,0.03067484662576687,0.5555555555555556,0.05813953488372093,5,158,4,1785
trend_3year_year_standardized,0.29,0.030864197530864196,0.5555555555555556,0.05847953216374269,5,157,4,1786
trend_3year_year_standardized,0.3,0.025477707006369428,0.4444444444444444,0.04819277108433735,4,153,5,1790
trend_3year_year_standardized,0.31,0.025806451612903226,0.4444444444444444,0.04878048780487805,4,151,5,1792
trend_3year_year_standardized,0.32,0.026143790849673203,0.4444444444444444,0.04938271604938271,4,149,5,1794
trend_3year_year_standardized,0.33,0.026490066225165563,0.4444444444444444,0.05,4,147,5,1796
trend_3year_year_standardized,0.34,0.027210884353741496,0.4444444444444444,0.05128205128205128,4,143,5,1800
trend_3year_year_standardized,0.35,0.0273972602739726,0.4444444444444444,0.05161290322580645,4,142,5,1801
trend_3year_year_standardized,0.36,0.027586206896551724,0.4444444444444444,0.05194805194805195,4,141,5,1802
trend_3year_year_standardized,0.37,0.027972027972027972,0.4444444444444444,0.05263157894736842,4,139,5,1804
trend_3year_year_standardized,0.38,0.021739130434782608,0.3333333333333333,0.04081632653061224,3,135,6,1808
trend_3year_year_standardized,0.39,0.021897810218978103,0.3333333333333333,0.0410958904109589,3,134,6,1809
trend_3year_year_standardized,0.4,0.022556390977443608,0.3333333333333333,0.04225352112676056,3,130,6,1813
trend_3year_year_standardized,0.41,0.022727272727272728,0.3333333333333333,0.0425531914893617,3,129,6,1814
trend_3year_year_standardized,0.42,0.023076923076923078,0.3333333333333333,0.04316546762589928,3,127,6,1816
trend_3year_year_standardized,0.43,0.023076923076923078,0.3333333333333333,0.04316546762589928,3,127,6,1816
